纳迦港台,#genre#
TSN_4,tvbus://3EQqF7cVnPB4e2k32pKvfbaLbkssEJ1mTHqcexyvwq4TzSnynj
TSN_5,tvbus://4kcDN1gHpMSfjcRT7qXJBa5Jz9oRJ8Pc8RZq1Se7RF7148UVEL
Sky_Sport_F1_HD,tvbus://3X5H59TDBsUFCZQCjkUyHhwZ4oK3e8ErMh6eEjiCXS5jAZKp52

NHK-华语视界,https://nhkworld.webcdn.stream.ne.jp/www11/nhkworld-tv/zh/725580/livecom_zh.m3u8
NHK-G综合,p2p://42.116.8.235:9906/58a5392d0001aa85002abe600ca49985.ts
NHK-E教育,p2p://42.116.8.235:9906/58a5392c000e67e3002abdbb5a71470a.ts
日本テレビ,p2p://42.116.8.235:9906/58a5392d00041645002abeff37b11a82.ts
テレビ朝日,p2p://42.116.8.235:9906/58a5392d00069e03002abfa5090323e4.ts
TBSテレビ,p2p://42.116.8.235:9906/58a5392d0007dba6002abff6d3208d98.ts
テレビ東京,p2p://42.116.8.235:9906/58a5392d0009115f002ac0451a57c533.ts
フジテレビ,p2p://42.116.8.235:9906/58a5392d000a41c1002ac09360fc60d3.ts
TOKYO MX,p2p://42.116.8.235:9906/58a5392d000b72de002ac0e105d2fb01.ts
NHK综合大阪,p2p://42.116.8.235:9906/58a5394d000b1a24002b3dcb8d453cb0.ts
NHK-G综合,mitv://147.135.39.171:9906/5f0a091b000ad08b64c964033a6c7866.ts
NHK-G综合,mitv://50.7.118.66:9906/5ee06e7b000dd11ce3770fbe75242192.ts
NHK-E教育,mitv://147.135.39.171:9906/5f0a091b0004fc4464c9628c32df60b6.ts
NHK-E教育,mitv://50.7.118.66:9906/5ee1812d00072420e7a8155805945f9c.ts
日本テレビ,mitv://147.135.39.171:9906/5f0a091a000d583964c960c7711e18c9.ts
日本テレビ,mitv://50.7.118.66:9906/5ee18144000d570ae7a870c714537762.ts
テレビ朝日,mitv://147.135.39.171:9906/5f0a0a67000da20b64ce759e0e5254fc.ts
TBSテレビ,mitv://147.135.39.171:9906/5f0a0a69000badc764ce7cf16e4f7ef6.ts
TBSテレビ,mitv://50.7.118.66:9906/5ee18197000d1a01e7a9b4ef10ce3342.ts
テレビ東京,mitv://147.135.39.171:9906/5f0a0919000d847d64c95cee17032f5e.ts
テレビ東京,mitv://50.7.118.66:9906/5ee18188000d9413e7a97a76251e5b8d.ts
フジテレビ,mitv://147.135.39.171:9906/5f0a091a0007744a64c95f401476622d.ts
フジテレビ,mitv://50.7.118.66:9906/5ee1817400079e32e7a92ad00eea6d56.ts
TSN1,p2p://fccsovh.pvbox.live:18912/5cf55a00000f055289e463f854dd1e56.ts
TSN2,p2p://fccsovh.pvbox.live:18912/5cffd792000e927a593918d3a42ec252.ts
TSN3,p2p://fccsovh.pvbox.live:18912/5cffd7940009905bc3546565cc212fca.ts
TSN4,p2p://fccsovh.pvbox.live:18912/5cffd7960007e5d5ac0db190f387c710.ts
TSN5,p2p://fccsovh.pvbox.live:18912/5cffd798000451f51bd6f21bccbd120d.ts
HKC beIN SPORTS1,mitv://147.135.39.171:9906/5ea28d9a0005c385d08e210c66e47615.ts
HKC beIN SPORTS2,mitv://147.135.39.171:9906/5ea28d9a000cfc2bd08e22e03ebd0c76.ts
WWE,mitv://147.135.39.171:9906/5e9e8306000a3ed5c0c4d0050d315c34.ts
HKC直播新聞台,mitv://147.135.39.171:9906/5ef4ecd400015d191252b914239a34f8.ts
HKC新聞台,mitv://147.135.39.171:9906/5e9e83070000f800c0c4d18b692d70da.ts
HKC財經資訊台,mitv://147.135.39.171:9906/5ead19e0000c2946f9c238242b751a54.ts
HKC 18,mitv://147.135.39.171:9906/5ea539e900018755daff46da4f370362.ts
HKC 603,mitv://147.135.39.171:9906/5ef4ecd300091a2f1252b72006d82fc2.ts
HKC體育台,mitv://147.135.39.171:9906/5ea539e900076757daff48514c4e1e96.ts
HKC Sports Plus 1 HD,mitv://147.135.39.171:9906/5ea539ea00007ceadaff4a743a176aa1.ts
HKC Sports Plus 2,mitv://147.135.39.171:9906/5ef4ecd40007934c1252baaa5c8b564e.ts
HKC綜合娛樂台,mitv://147.135.39.171:9906/5e73be6500011d2f19b464df5ab64e5b.ts



FOX_SPORTS_3,tvbus://3h9WDkiGgWhPQECA8QZyqRT2xUtGv6uHd2LRav4Ss18NFcw7QD



